6639287-G,74,1,,,,79.27,5.27,,,
6678246-G,0,1,,,,0,0,,,
6692199-G,0,1,,,,0,0,,,
6697729-G,2,1,,,,4.77,2.77,,,
6705119-P,758,1,,,,739.1,-18.9,,,
6716445-G,988,1,,,,952.28,-35.72,,,
6737559-G,28,1,,,,26.42,-1.58,,,
6748932-G,1174,1,,,,1825.69,651.69,,,
6751093-G,0,1,,,,0.2,0.2,,,
6787026-G,0,1,,,,140.67,140.67,,,
6790927-P,0,1,,,,0,0,,,
6812620-G,0,1,,,,2.58,2.58,,,
6814228-P,2941,1,,,,2904.73,-36.27,,,
6842746-P,0,1,,,,0,0,,,
6856606-G,0,1,,,,0,0,,,
6865287-G,0,1,,,,0.6,0.6,,,
6941646-P,0,1,,,,0,0,,,
6947097-G,20,1,,,,19.07,-0.93,,,
6981744-G,0,1,,,,0,0,,,
6995659-G,0,1,,,,96.76,96.76,,,
7015261-P,0,1,,,,0.4,0.4,,,
7029201-P,147,1,,,,181,34,,,
7035372-P,151,1,,,,145.04,-5.96,,,
7036159-P,0,1,,,,195.9,195.9,,,
7044077-G,0,1,,,,0,0,,,
7076155-G,46,1,,,,44.5,-1.5,,,
7089647-G,0,1,,,,0,0,,,
7089658-G,9,1,,,,8.94,-0.06,,,
7107791-G,0,1,,,,0,0,,,
7146476-P,0,1,,,,0,0,,,
7210653-P,0,1,,,,0,0,,,
7217018-G,1,1,,,,179.01,178.01,,,
7250160-P,0,1,,,,0,0,,,
7264655-G,111,1,,,,106.49,-4.51,,,
7267596-G,23,1,,,,22.85,-0.15,,,
7275221-P,147,1,,,,138.08,-8.92,,,
7283865-G,466,1,,,,451.41,-14.59,,,
7288304-G,41,1,,,,138.28,97.28,,,
7289692-G,0,1,,,,5.17,5.17,,,
7309775-G,69,1,,,,163.71,94.71,,,
7340332-P,17,1,,,,88.21,71.21,,,
7340854-G,12,1,,,,11.52,-0.48,,,
7388309-G,0,1,,,,0,0,,,
7393819-P,382,1,,,,366.77,-15.23,,,
7486820-P,46,1,,,,41.92,-4.08,,,
7513088-G,0,1,,,,1.79,1.79,,,
7544969-G,453,1,,,,432.93,-20.07,,,
7566769-G,0,1,,,,0,0,,,
7584512-G,0,1,,,,0.6,0.6,,,
7724916-G,93,1,,,,89.41,-3.59,,,
7733597-G,0,1,,,,0,0,,,
7788069-G,46,1,,,,46.89,0.89,,,
7798712-P,23,1,,,,29.6,6.6,,,
7820408-G,0,1,,,,0,0,,,
7828775-P,92,1,,,,82.65,-9.35,,,
7890406-P,0,1,,,,36.16,36.16,,,
7904394-G,51,1,,,,50.07,-0.93,,,
7958374-G,645,1,,,,622.27,-22.73,,,
7958625-G,244,1,,,,235.84,-8.16,,,
7972056-P,0,1,,,,0.6,0.6,,,
7979455-G,0,1,,,,0.4,0.4,,,
7981466-P,0,1,,,,0.2,0.2,,,
7986370-P,17,1,,,,28.01,11.01,,,
7996932-P,330,1,,,,320.67,-9.33,,,
8030113-G,1,1,,,,0.99,-0.01,,,
8039416-G,159,1,,,,234.25,75.25,,,
8042920-P,22,1,,,,48.08,26.08,,,
8054566-P,41,1,,,,53.32,12.32,,,
8066760-G,89,1,,,,88.02,-0.98,,,
8068642-G,0,1,,,,0,0,,,
8082506-G,0,1,,,,0,0,,,
8092271-G,399,1,,,,428.16,29.16,,,
8106669-P,430,1,,,,406.3,-23.7,,,
8113244-G,48,1,,,,47.29,-0.71,,,
8125471-P,0,1,,,,0,0,,,
8211765-G,811,1,,,,767.31,-43.69,,,
8215041-G,0,1,,,,0,0,,,
8221418-G,113,1,,,,109.67,-3.33,,,
8221441-G,37,1,,,,36.95,-0.05,,,
8249818-P,382,1,,,,373.3,-8.7,,,
8262779-G,68,1,,,,66.96,-1.04,,,
8292340-G,25,1,,,,24.64,-0.36,,,
8308563-P,9,,,,1,,,,,
8326292-G,0,1,,,,0,0,,,
8349131-G,0,1,,,,566.44,566.44,,,
8371311-G,0,1,,,,0.2,0.2,,,
8383742-G,71,1,,,,74.7,3.7,,,
8396789-G,0,1,,,,0,0,,,
8403790-G,9,1,,,,10.53,1.53,,,
8426151-P,7,1,,,,11.13,4.13,,,
8434660-G,0,1,,,,0,0,,,
8438402-P,0,1,,,,0,0,,,
8443569-G,0,1,,,,200.67,200.67,,,
8444733-G,0,1,,,,0,0,,,
8465869-G,210,1,,,,205.83,-4.17,,,
8475136-G,0,1,,,,9.54,9.54,,,
8479069-G,0,1,,,,0,0,,,
8490399-G,819,1,,,,835.66,16.66,,,
8499852-G,0,1,,,,0,0,,,
8526009-G,7,1,,,,6.76,-0.24,,,
8571639-P,0,1,,,,7.75,7.75,,,
8590349-G,9,,,,1,,,,,
8603723-G,134,1,,,,735.32,601.32,,,
8625421-P,0,1,,,,1.19,1.19,,,
8672682-G,0,1,,,,0,0,,,
8673641-P,0,1,,,,5.36,5.36,,,
8696433-P,0,1,,,,0.2,0.2,,,
8706863-G,188,1,,,,178.02,-9.98,,,
8733560-G,1368,1,,,,1423.75,55.75,,,
